claim,label,selected_pipeline,predicted_label,predicted_justification,predicted_type
"Buy less, demand more",not_greenwashing,GraphRAG,not_greenwashing,"The claim ""Buy less, demand more"" aligns with Patagonia's demonstrated commitment to reducing consumption and advocating for environmental responsibility, as evidenced by initiatives like the ""Reduce Environmental Footprint and Impact"" program and the company's overall ethos of sustainability. While a marketing slogan, it reflects genuine company values and actions, rather than being a misleading or false statement.",
"Carbon negative carpet tile changed everything for us. We now know it’s possible to store more carbon than we emit. We want to challenge ourselves and others to become carbon negative, enterprise wide, without offsets. This is an important step on our journey to reverse global warming.",not_greenwashing,GraphRAG,not_greenwashing,"The provided context demonstrates that Interface produces carbon negative carpet tiles and has set goals to become carbon negative enterprise-wide by 2040. They have achieved a 12% reduction in GHG emissions per unit of carpet tile product in 2023 compared to 2022, and 100% of their carpet tile product manufactured in Europe transitioned to carbon negative backing in 2022. The claim that they ""store more carbon than we emit"" is supported by their production of carbon negative products and their stated goals and progress towards becoming carbon negative.",
"Claimed their bottles were made from 100% recycled ocean plastic. In an image showing a  plastic spray bottle of Windex cleaner in front of a pile of colorful plastic bottles. The pile of plastic bottles is submerged in water, suggesting it is ocean plastic.",greenwashing,RAG,not_greenwashing,"The provided context consistently states that Windex bottles are made from ""100% recycled ocean-bound plastic."" The definition of ""ocean-bound plastic"" is also provided: ""post-consumer recycled plastic collected within 31 miles (50 kms) of an ocean, or waterway leading to an ocean, in countries with high volumes of uncollected plastic waste."" The context details the partnership with Plastic Bank and the collection of over 11 million kg of plastic waste. Therefore, the claim that the bottles are made from 100% recycled ocean plastic is factually accurate based on the provided evidence.",
Claims their single-use plastic coffee pods are easily recyclable.,greenwashing,RAG,greenwashing,"Snippet 4 states that Keurig paid a penalty and made a consent agreement with Canada's Competition Bureau due to misleading claims about the recyclability of K-Cup pods. This directly contradicts the claim that they are ""easily recyclable,"" indicating the claim is factually false and therefore greenwashing. Additionally, Snippet 1 states ""check locally — not recycled in many communities,"" further supporting this determination.",Type 4
"Designed with Impact in Mind: We transform waste streams into nature positive products, engineered for a second life.",not_greenwashing,GraphRAG,not_greenwashing,"The provided context confirms that Chopvalue transforms waste streams (chopsticks) into engineered materials. Furthermore, they report a KPI of 13278 kg CO2/m³ avoided by using their material instead of commercial alternatives, indicating a positive environmental impact (deforestation avoidance). The claim of being ""nature positive"" is supported by this evidence, as they are actively reducing CO2 emissions and utilizing waste materials.",
"EvoluSHEIN is Shein’s first ‘sustainable’ clothing collection. According to the brand, this is “a purpose-driven collection with a positive vision for the future."" On their website, they have stated that these garments are made from recycled materials, sent to customers in 100% recycled packaging",greenwashing,RAG,greenwashing,"While EvoluSHEIN garments include a minimum of 30% preferred materials and are shipped in 100% recycled packaging (as stated in the claim and confirmed by the context), the context reveals that in 2023, only 2.2% of *all* Shein-branded products met the EvoluSHEIN standard. This means the vast majority of Shein's products do *not* meet these criteria. Presenting EvoluSHEIN as a broadly ""sustainable"" collection is therefore a partial truth presented as a whole, constituting greenwashing. The claim implies a wider commitment to sustainability than is actually being practiced across the brand's entire product line.",Type 3
"From materials to transport, we’re working to reduce our carbon footprint to near zero. Holding ourselves accountable and striving for climate goals isn’t a 30-year goal—it’s now.",not_greenwashing,RAG,abstain,"The claim states Allbirds is working to reduce its carbon footprint to ""near zero"" and that this isn't a 30-year goal, but ""now."" While the context details numerous efforts to reduce emissions (reducing per-unit emissions by 22% in 2023, aiming for 95% reduction by 2030, using renewable energy, ocean shipping, carbon labeling, etc.), it does *not* define what ""near zero"" means quantitatively. Without a specific, verifiable target for ""near zero,"" I cannot determine if the claim is factually accurate or misleading. The context provides progress towards reduction goals, but not a clear definition of the ultimate goal itself.",
"In 2020, 97% of our product packaging, by volume, was what we consider to be 'Zero Waste -reusable or recyclable.",not_greenwashing,GraphRAG,not_greenwashing,"The provided context shows that in 2021, Seventh Generation achieved 99% reusable or recyclable packaging, in 2022 they achieved 100%, and in 2023 they achieved 99%. This supports the claim that in 2020, 97% of their product packaging was reusable or recyclable. While the claim refers to 2020, the data from surrounding years demonstrates a consistent effort and achievement in this area, validating the claim's accuracy.",
Launched a sustainable fashion campaign with Kourtney Kardashian as the face.,greenwashing,RAG,abstain,"The provided context details a sustainability campaign with Kourtney Kardashian, focusing on raising awareness, exploring sustainable fabrics, and promoting pre-loved clothing. However, it does not provide specific, verifiable information about the sustainability of the fashion line itself. The snippets discuss initiatives like using recycled content and partnering with organizations like CottonConnect, but do not confirm whether the entire campaign or resulting products are genuinely sustainable. Therefore, I cannot determine if the claim is factually accurate or misleading.",
Loop And Swoop: Our laces are made from 100% post-consumer recycled polyester. One old plastic bottle becomes one pair of shoelaces.,not_greenwashing,GraphRAG,not_greenwashing,"The claim states that one plastic bottle is recycled into one pair of shoelaces. While the provided context doesn't directly verify this specific 1:1 ratio, it does demonstrate Allbirds' commitment to sustainable materials, targeting 75% sustainably sourced materials by 2025. The use of recycled polyester for laces aligns with this goal and suggests the claim is plausible and not demonstrably false based on the available information.",
"Made from 100% recycled PET bottles” accompanied by an asterisk after the claim, leading to “*does not refer to the label and cap”.",greenwashing,RAG,greenwashing,"The claim ""Made from 100% recycled PET bottles” is qualified by an asterisk that leads to the clarification ""*does not refer to the label and cap”. This means the bottle itself is made from recycled PET, but the label and cap are not. Presenting the claim without this crucial qualification is a partial truth presented as a whole, thus constituting greenwashing. The context confirms that while significant progress has been made with rPET content (around 94% overall), it doesn't apply to all components of the packaging.",Type 3
"Marketed a range of products labeled ""Aware"".",greenwashing,RAG,abstain,"The provided context discusses Amazon's sustainability initiatives and certifications like ""Climate Pledge Friendly"" and ""Aware,"" but it does not define what ""Aware"" products are or what criteria they meet. Without knowing the standards or verification process behind the ""Aware"" label, I cannot determine if its use constitutes greenwashing or is a legitimate sustainability indicator.",
Meat alternative brand Quorn Foods claims in a YouTube video that its Thai Wonder Grains “lunch pot” is a step in the right direction to addressing climate change because it “helps us reduce our carbon footprint.”,greenwashing,RAG,abstain,"The provided context consists of detailed footprint comparison reports for Quorn products versus meat-based alternatives. While the reports extensively analyze carbon, land, and water footprints, they do *not* contain information about whether Quorn's claim that its Thai Wonder Grains “lunch pot” is a step in the right direction to addressing climate change because it “helps us reduce our carbon footprint” is factually accurate. The reports provide data for *components* and *comparisons*, but not a specific assessment of this particular product's overall impact or whether the claim is substantiated by their findings. Therefore, I cannot verify the claim.",
"Naturepedic's mission includes a strong focus on environmental sustainability. From responsibly sourcing natural and certified organic materials to becoming the first mattress manufacturer ever to earn the EWG VERIFIED® distinction to implementing a packaging system that helps keep 55,000 pounds of single-use plastic out of landfills each year, we are continuously working to improve.",not_greenwashing,RAG,not_greenwashing,"The provided context consistently supports Naturepedic's claims of environmental sustainability. It details numerous initiatives, including responsibly sourced materials, EWG VERIFIED® certification, plastic reduction in packaging, reduced emissions through logistical streamlining, support for organic and regenerative farming, sustainable energy use (EPA Green Power Partnership, skylights, LED lighting), waste reduction and recycling, and charitable donations of organic mattresses. These actions demonstrate a genuine commitment to environmental sustainability, and the context provides specific evidence to back up these claims.",
"Naturepedic’s line of certified organic mattresses are now EWG VERIFIED! As the “First in Category” to receive this distinction, we couldn’t be prouder to lead the industry in setting a new standard for providing safer, healthier sleep for people, the planet, and YOU.",not_greenwashing,RAG,not_greenwashing,"The claim states Naturepedic’s mattresses are “EWG VERIFIED” and “First in Category” to receive this distinction. While the provided context doesn’t explicitly state the EWG verification, it details numerous other certifications (GOTS, USDA Organic, Vegan Certified, Greenguard Gold, etc.) and a strong commitment to organic, sustainable practices, transparency, and minimizing toxic chemicals. Given the company's overall focus on health and sustainability, it is plausible and verifiable (through external sources - though not *within* the provided context) that they have achieved EWG verification. Therefore, the claim is likely factually accurate and does not constitute greenwashing.",
"OUR SUSTAINABLY SOURCED INGREDIENTS In the southern region of France, we source our organically grown lavandin and thyme. Our sustainable sourcing program contributes to maintaining local biodiversity, expanding organic farming, and supporting local farmers.",not_greenwashing,RAG,not_greenwashing,"The provided context details Garnier's sustainable sourcing program for lavandin and thyme in France, emphasizing contributions to local biodiversity, organic farming, and support for local farmers. This claim is supported by multiple snippets describing Garnier's broader commitment to sustainable sourcing of various ingredients (shea butter, argan oil, menthol, etc.), traceability, fair labor practices, and biodiversity preservation. The context provides specific examples of initiatives and partnerships that validate the claim of sustainably sourced ingredients.",
Oatly generates 73% less CO2e VS cows milk,greenwashing,RAG,greenwashing,"The claim states Oatly generates ""73% less CO2e VS cows milk"". However, the provided context indicates a range of 44% to 80% lower climate impact for *specific* Oatly drinks in *certain* markets (China, Europe, and the United States). The 73% figure is not universally applicable to all Oatly products and all regions, presenting a partial truth as a whole. The context also highlights that the impact varies depending on the specific product and location, and that data for Asia was recently included using proxy calculations. Therefore, stating a single percentage across the board is misleading.",Type 3
Our circular material is better for you and the planet. Every product made from our engineered performance material means fewer trees cut down for wooden furniture.,not_greenwashing,RAG,not_greenwashing,"The claim states that using ChopValue's material means ""fewer trees cut down for wooden furniture."" The provided context supports this claim. Snippet 1 states the material is a ""climate positive alternative for virgin materials in furniture making,"" and Snippet 2 details how using ChopValue material saves CO2 emissions compared to commercial materials. Snippet 3 quantifies this, stating that using ChopValue material results in 26% less CO2 emissions. The context demonstrates a clear environmental benefit related to reducing reliance on wood from trees.",
"Our founder, Anita Roddick, initiated our first recycling scheme Bring Back Our Bottles in 1993. Then, in 2019, we launched our Return, Recycle, Repeat scheme in five countries. In 2020, we started a refill revolution with refill stations across 500 stores globally. And now, our Return, Recycle, Repeat scheme is back.",not_greenwashing,RAG,not_greenwashing,"The claim details a history of recycling and refill initiatives by The Body Shop, starting in 1993 and expanding over time. The provided context consistently supports these claims, detailing the ""Bring Back Our Bottles"" scheme (1993), the ""Return, Recycle, Repeat"" scheme (2019, 2022), and the expansion of refill stations to 793 stores in 53 countries by 2022, with plans to reach 850 in 2023. The context also provides data on the amount of plastic waste prevented through these schemes (13.5 tonnes in 2022) and the use of recycled materials in packaging. Therefore, the claim is factually accurate based on the provided evidence.",
Promoted Hefty Recycling Bags as capable of handling any recyclable item.,greenwashing,RAG,greenwashing,"The claim states Hefty Recycling Bags can handle *any* recyclable item. However, the provided context details the ""Hefty EnergyBag program"" which focuses on collecting *hard-to-recycle* plastics like candy wrappers and foam takeout containers – items that are typically *not* accepted in standard recycling programs. This directly contradicts the claim that the bags can handle ""any"" recyclable item, implying a broader capability than is actually offered. The program is designed for materials that wouldn't otherwise be recycled, not for all recyclables.",Type 4
"Style meets sustainability in our innovative new ASOS line, which is all about future-proofing fashion. So, not only are these pieces as eco-friendly as possible, they’re also 100% on-point. Think fresh cuts in the season’s key colours, with some throwback ’90s vibes added in for good measure. The kind of fashion that’s good for your wardrobe, and better for the environment.",greenwashing,RAG,abstain,"The claim states ASOS's new line is ""as eco-friendly as possible"" and ""better for the environment."" While the provided context details ASOS's sustainability goals and initiatives (e.g., using recycled materials, mapping supply chains, reducing packaging), it does not provide specific information to verify whether the *entire* new line meets these standards or is demonstrably ""as eco-friendly as possible."" The context outlines goals for 2025 and 2030, but provides FY22 updates which show progress *towards* those goals, not complete achievement. Therefore, I cannot verify the claim's accuracy.",
"The Fairphone 4’s body is machined from aluminum from ASI certified vendors. To top it off, we’ve designed it with a 100% recycled plastic back cover. Using fairer materials as much as possible.",not_greenwashing,RAG,not_greenwashing,"The provided context consistently supports the claim. Multiple snippets detail the Fairphone 4's use of ASI certified aluminum and 100% recycled plastic for the back cover. Snippet 1 explicitly states ""100% recycled plastic back cover"" and ""100% asi certified aluminium"". Subsequent snippets reiterate these points and provide further details on the use of recycled and fair materials in other components. Therefore, the claim is factually accurate based on the provided documentation.",
The Future of Furniture Is Circular Climate positive wood furniture made locally on a global scale,not_greenwashing,GraphRAG,not_greenwashing,"The claim states ChopValue creates ""climate positive"" wood furniture. The provided context demonstrates several sustainability efforts: utilizing waste chopsticks, reducing GHG emissions (70 kgCO2/m³ for transport, 362 kgCO2 reduction compared to commercial materials, and avoiding 13278 kg CO2 through deforestation avoidance). While ""climate positive"" is a strong claim, the data suggests a significant reduction in environmental impact, supporting the assertion that their products contribute positively to the climate. Therefore, based on the available evidence, the claim is factually accurate.",
"The TV ad tells the story of a man and and his aquatic sidekick, Otter, as their boat is hijacked by revellers celebrating and making a mess as they approach a large waterfall. They sing about “messing up the planet” until they find themselves in peril, hanging off the edge of a cliff. They then row back to safety, clear up the rubbish, and start turning apples on a tree into Innocent smoothies, which they all consume as they “fix up the planet”",greenwashing,RAG,greenwashing,"The ad depicts a scenario of environmental damage (""messing up the planet"") being ""fixed up"" by consuming Innocent smoothies. While the context details Innocent's sustainability initiatives (carbon neutrality goals, charitable donations, sustainable farming projects, recycling efforts), the ad implies that *buying their product* is an act of environmental repair. This presents a partial truth – Innocent is taking steps towards sustainability – as a whole solution. The act of purchasing a smoothie does not ""fix the planet,"" and the ad misleadingly suggests it does. The context also acknowledges the company faces ""accusations of greenwashing,"" indicating awareness of this potential perception.",Type 3
"The ad is designed to look like a two-page spread in a newspaper.  The left-hand side of the ad says ""We bought this two-page ad to tell you we've been including climate footprint numbers on our products so they can tell you their climate footprint numbers too."" The right-hand side of the ad says ""We're donating this page to the dairy industry so they can tell you their climate footprint numbers too."" There is a large Oatly logo in the bottom right corner of the ad.  Below the ad copy, there is a section that says ""Climate Footprint Oat Milk 0.62 kg CO₂e/kg.""",not_greenwashing,RAG,not_greenwashing,"The ad highlights Oatly's commitment to transparency by including climate footprint numbers on their products and offering advertising space to the dairy industry to do the same. The provided context confirms Oatly actively publishes climate footprints for its products (Snippet 5 & 3), advocates for mandatory climate declarations (Snippet 4), and has conducted studies demonstrating a lower climate impact for its products compared to cow's milk (Snippet 6). The ad's actions align with Oatly's stated goals and documented initiatives, and the stated climate footprint of 0.62 kg CO₂e/kg is consistent with their efforts to provide this information to consumers. Therefore, the ad is not presenting false or misleading information.",
"The poster featured an aerial image of waves crashing on a shore with text that stated ""Climate change doesn’t do borders. Neither do rising sea levels. That’s why HSBC is aiming to provide up to $1 trillion in financing and investment globally to help our clients transition to net zero”.",greenwashing,RAG,not_greenwashing,"The claim that HSBC is aiming to provide up to $1 trillion in financing and investment to help clients transition to net zero is supported by the provided context. Snippet 2 states, “– we aim to provide and facilitate $750bn to $1tn of sustainable finance and investment for our customers in their transition to net zero and a sustainable future between 2020 and 2030.” The poster's claim falls within the range stated in the HSBC report. Therefore, the claim is factually accurate based on the provided documentation.",
"The poster featured an image of tree growth rings with text that stated ""Climate changes doesn’t do borders. So in the UK, we’re helping to plant 2 million trees which will lock in 1.25 million tonnes of carbon over their lifetime"".",greenwashing,RAG,abstain,"The provided context details HSBC's climate-related initiatives, including sustainable finance goals and tree-planting efforts. However, it does *not* contain information to verify the specific claim about planting 2 million trees in the UK to lock in 1.25 million tonnes of carbon. While the context mentions broader commitments to natural capital and climate solutions, it doesn't confirm the details of this particular tree-planting program or the associated carbon sequestration figures. Therefore, I cannot verify the claim's accuracy.",
"Today, we make all our products with some of nature’s most effective ingredients, all sourced with respect for people and the land. Each ingredient is chosen for its proven ability to replenish and strengthen a healthy skin barrier. That means only the good stuff, and absolutely none of the bad, for hydrated and happy skin.",not_greenwashing,RAG,abstain,"The claim states the products are made with ""nature’s most effective ingredients, all sourced with respect for people and the land"" and contain ""absolutely none of the bad."" While the provided context details some sustainable sourcing initiatives (e.g., recycled/responsibly sourced fiber, Earthworm Foundation partnership) and highlights certain ""natural"" ingredients in specific products (like Burt's Bees), it does *not* provide a comprehensive list of all ingredients used across the entire product line, nor does it define what constitutes ""the bad"" ingredients. Therefore, I cannot verify the claim's factual accuracy. The context lacks the specificity needed to confirm whether *all* products meet these criteria.",
"Using the power of plant science, we create products that get the job done and are safer for your family. From renewable plant-based ingredients to more sustainable packaging, our products re-define what it means to clean with purpose.",not_greenwashing,GraphRAG,not_greenwashing,"The claim states Seventh Generation uses plant-based ingredients and sustainable packaging. The context confirms Seventh Generation produces products like ""100% Recycled Bath Tissue"" (sustainable packaging) and has ""reformulated"" laundry and dish soap products, suggesting ongoing efforts towards plant-based ingredients. While the claim is broad, the available evidence supports the general sentiment of using plant science and sustainable practices.",
"We make dishwashing liquid and automatic dish detergents powered by renewable, plant-based ingredients that fight grease with ease and make dish time less of a chore.",not_greenwashing,RAG,not_greenwashing,"The claim states the dishwashing liquid is ""powered by renewable, plant-based ingredients."" The provided context confirms Seventh Generation is actively working to incorporate biobased and plant-based inputs into its products, and has been doing so for years. Specifically, the text mentions using biobased alternatives to reduce greenhouse gas emissions and highlights their efforts to source sustainable materials. While the context doesn't detail *every* ingredient, it supports the general claim of using renewable, plant-based ingredients.",
"We take a holistic approach when selecting our ingredients, packaging, materials and fabrics, taking multiple aspects into account to make actual sustainable choices. Reducing the environmental impact of our business is key to us and is constantly on our minds. To do so, we measure, monitor and initiate improved practices throughout the company, from packaging & ingredients to operations, and supply chain.",not_greenwashing,GraphRAG,not_greenwashing,"The provided context details several initiatives undertaken by Rituals to reduce environmental impact, including the ""3 Rs: Reduce, Recycle, Refill"" program, the ""SPICE tool"" for packaging assessment, and implementing modular furniture design. These initiatives, along with partnerships with organizations like Sacred Forests, demonstrate concrete steps towards sustainability, supporting the claim that Rituals is actively working to reduce its environmental impact and make sustainable choices. While the claim is broad, the context provides evidence of ongoing measurement, monitoring, and improvement practices within the company.",
We’re Made for More. More carbon reduction. More carbon storage. More innovative solutions. More impact.,not_greenwashing,GraphRAG,not_greenwashing,"The provided context demonstrates that Interface is actively involved in multiple initiatives and has set goals related to carbon reduction, carbon storage, and innovative solutions. These include the ""Product Carbon Footprint Reduction Initiative,"" participation in the ""Embodied Carbon in Construction Calculator (EC3),"" and the ""Materials Carbon Action Network (materialsCAN)."" The company also has stated goals to reduce its carbon footprint. The claim ""We’re Made for More"" aligns with these documented efforts and is therefore factually supported by the provided context.",
"Where possible, we replace synthetic petroleum-based materials with natural alternatives. Such as wool, tree fibers and sugar cane. They're soft, breathable and better for the planet - win, win, win.",not_greenwashing,RAG,not_greenwashing,"The provided context consistently supports the claim. The text details Allbirds' commitment to replacing petroleum-based materials with natural alternatives like wool, tree fibers, and sugarcane. It specifically mentions using sugarcane-based green EVA which is Bonsucro certified, and Tencel™ lyocell derived from certified wood sources. The company has a stated goal to have 75% of its materials be sustainably sourced natural or recycled by 2025, and is actively investing in projects like regenerative agriculture to support this goal. The claim is factually accurate based on the provided information.",
"With 23,000 electric delivery vans, 13,500 e-trikes and 6,100 e-bikes, ours is the largest fleet of electric commercial vehicles in the world, and our deliveries are carbon-free in about 50% of our delivery districts. No other logistics company invests as much in e-mobility as we do. We will expand our e-fleet to 38,000 electric delivery vehicles and 14,000 e-trikes by 2025. That means we can also help our public sector customers to meet the requirements of the German Clean Vehicles Procurement Act.",not_greenwashing,GraphRAG,not_greenwashing,"The claim states Deutsche Post has the largest fleet of electric commercial vehicles and that deliveries are carbon-free in about 50% of their delivery districts. While the provided context doesn't directly verify the ""largest fleet"" claim, it *does* provide data points supporting a significant investment in electric vehicles (23,000 vans, 13,500 e-trikes, 6,100 e-bikes as of 2023) and reports on Scope 1, 2, and 3 GHG emissions, indicating efforts to reduce their carbon footprint. The claim about 50% carbon-free deliveries is not directly verifiable with the provided data, but the overall evidence suggests a genuine effort towards e-mobility and emissions reduction, rather than misleading claims.",
"With GoGreen, shipping emissions are subsequently offset by investing in global climate protection projects - known as offsetting. We automatically apply this process to all letter mail and private customer parcels worldwide - at no extra charge. Business customers can also book the service for their parcels and advertising mail.",not_greenwashing,RAG,not_greenwashing,"The provided context details DHL's ""GoGreen"" initiative, which includes offsetting emissions through investments in climate protection projects. The documents confirm that this offsetting is applied to all letter mail and parcels worldwide at no extra charge. While the documents also discuss the complexities of offsetting versus reduction (and the preference for reduction), the core claim about offsetting emissions is supported by the provided information. The context does not contain any evidence contradicting the claim.",
"[We have] 100% energy-efficient stores. The daily operation of our stores is adapted to reduce our environmental impact with systems that allow us to adjust water and energy consumption to the real needs of the store. In addition, the new building and renovation standards of our stores, based on our Eco-Efficient Store Manual, establish the use of more efficient technologies that help us regulate our consumption.",greenwashing,RAG,greenwashing,"The claim states ""100% energy-efficient stores."" However, the provided context details that while Inditex is making significant strides in energy efficiency and renewable energy usage (90% renewable energy certificates, 79% of stores connected to an energy optimization platform, and 100% renewable electricity in their own facilities in 2022), it does *not* equate to 100% energy efficiency across *all* stores. The context highlights ongoing efforts and improvements, but doesn't support the absolute claim of ""100% energy-efficient stores."" The claim presents a partial truth (significant improvements in energy efficiency) as a whole (100% efficiency).",Type 3
"an Instagram post by Brewdog, published on 31 July 2023, featured an image of a poster, containing a childlike drawing of Earth covered in flames. Text accompanying the drawing stated “drink it for me” in the style of a child’s handwriting. Text on the other half of the poster stated “BEER FOR YOUR GRANDCHILDREN”, alongside an image of Brewdog Punk IPA Lager, and a badge with the text “Positive Planet CERTIFIED CARBON NEGATIVE COMPANY”. The caption stated “Beer for your Grandchildren. From the World’s First Carbon Negative brewery. Find out how we’re working to ensure we have a planet to enjoy beer on via the link in our bio”.",greenwashing,RAG,greenwashing,"The Instagram post claims Brewdog is the ""World’s First Carbon Negative brewery"" and is ""Positive Planet CERTIFIED CARBON NEGATIVE COMPANY"". However, the provided context reveals a more nuanced picture. While Brewdog has invested in sustainability initiatives (Lost Forest project, biogas trucks, etc.), the ""mega report"" details ongoing challenges in reducing emissions and acknowledges that their emissions have *risen* in some areas due to operational factors. The report also highlights the complexity of accurately calculating emissions and the impact of capital projects on their overall carbon footprint. The claim of being ""carbon negative"" is contradicted by the detailed emissions data and ongoing efforts to *reduce* emissions, suggesting they are still working towards that goal rather than having already achieved it. The image of a burning Earth coupled with ""drink it for me"" is also a manipulative tactic that downplays the severity of the climate crisis while promoting their product.",Type 4
