claim,label,selected_pipeline,predicted_label,predicted_justification,predicted_type
"AWS asserts its water replenishment projects are already ""significantly reversing regional water stress.""",greenwashing,RAG,abstain,"The context details AWS's commitment to being ""water positive by 2030"" and various projects aimed at water replenishment (e.g., projects with Water.org, initiatives in India and California). However, it does not provide enough information to verify whether these projects are *already* ""significantly reversing regional water stress."" The snippets mention 2.4 billion liters of water to be replenished, and projects providing water to hundreds of thousands of people, but do not quantify the extent of ""regional water stress"" or demonstrate a significant reversal has already occurred. Therefore, I cannot verify the claim.",
AWS collaborates with conservation non-profit Freshwater Trust to recharge 189 million liters of groundwater annually in the U.S.,not_greenwashing,RAG,not_greenwashing,"Snippet 1 states, ""in california, aws has worked with the freshwater trust and the omochumne - hartnell water district to recharge groundwater along the consumnes river, benefiting water systems that supply the bay area."" and Snippet 6 states, ""aws collaborates with conservation non-profit Freshwater Trust to recharge 189 million liters of groundwater annually in the U.S."" This confirms the claim is factually accurate based on the provided context.",
AWS highlights that its data centers consistently meet all local water quality and discharge regulations.,greenwashing,RAG,not_greenwashing,"The context states, ""AWS highlights that its data centers consistently meet all local water quality and discharge regulations."" This is a factual statement about compliance with existing laws, and the provided snippets detail AWS's efforts to improve water efficiency, use sustainable sources, and replenish water resources. There is no evidence to suggest this claim is false or misleading.",
AWS partners with The Rivers Trust and Action for the River Kennet to create two wetlands on a tributary of the River Thames in the UK.,not_greenwashing,RAG,not_greenwashing,"The provided context (Snippet 1, 6) explicitly states that ""in england, aws is collaborating with the rivers trust to create wetland areas in the thames river basin."" and that AWS committed £2.8 million to two UK programs to enhance biodiversity, including wetland creation. This directly confirms the claim.",
"AWS powers your cloud services with ""sustainable water sources.""",greenwashing,RAG,abstain,"The context discusses AWS's efforts to be ""water positive"" by 2030, including using recycled water, investing in water replenishment projects, and improving water efficiency. However, it does not provide enough information to verify whether *all* of AWS's cloud services are powered by ""sustainable water sources"" currently. The context details efforts towards sustainability, but doesn't state this is universally true *now*. Therefore, I cannot verify the claim.",
AWS reported a global water use efficiency (WUE) of 0.25 liters of water per kilowatt-hour in 2021.,not_greenwashing,RAG,not_greenwashing,"Snippet 2 states: ""0.19 liters of water per kilowatt-hour (l/kwh) water use efficiency for aws data centers, a 24% improvement from 0.25 l/kwh in 2021"". This directly confirms the claim that AWS reported a global water use efficiency of 0.25 liters of water per kilowatt-hour in 2021.",
Adidas claims SF6 gases have never been used in any of its products.,greenwashing,RAG,abstain,"The provided context does not contain any information regarding the use of SF6 gases in Adidas products, or whether Adidas has ever used them. Therefore, it is impossible to verify the claim.",
"Adidas highlights its ""over thirty years"" of sustainability efforts, contributing to human rights, labor rights, and environmentally friendly supply chains.",not_greenwashing,RAG,not_greenwashing,"Snippet 3 states: ""for over two decades, sustainability has been an integral part of adidas’ philosophy."" Snippet 7 and 8 reiterate that sustainability has been a focus for ""over two decades"" and ""for over twenty years"". While the claim states ""over thirty years"", the context supports a significant, multi-decade commitment to sustainability, and the difference of a few years does not constitute greenwashing. The context does not provide evidence to refute the claim that Adidas has been working on sustainability for over thirty years, only that it has been integral for over two decades. Therefore, the claim is not demonstrably false.",
Adidas now incorporates plastics recycled from ocean waste into its footwear products.,not_greenwashing,RAG,not_greenwashing,"Snippet 2 states: ""since 2015, adidas has partnered up with the environmental organization ‘ parley for the oceans ’ and uses ‘ parley ocean plastic ’ as an eco - innovative replacement for virgin polyester."" Snippet 3 further elaborates that in 2021, they produced ""close to 18 million pairs of shoes containing parley ocean plastic."" This directly supports the claim that Adidas incorporates plastics recycled from ocean waste into its footwear products.",
"Adidas partners with Allbirds to develop low-carbon footwear using innovative materials like merino wool, recycled bottle plastics, and castor bean oil.",not_greenwashing,RAG,not_greenwashing,"The context details a partnership between Adidas and Allbirds to develop low-carbon footwear using materials like merino wool, recycled plastics, and castor bean oil. Specifically, Snippet 6 states: “adidas x allbirds futurecraft. footprint : seeing the possibilities of accelerating a carbon - neutral future for sports and style, we teamed up with allbirds to create a performance running shoe with a carbon footprint of merely 2.94kg”. This confirms the claim is factually accurate based on the provided information.",
Adidas plans to launch a new version of its classic Stan Smith shoe made with mycelium-derived leather.,not_greenwashing,RAG,not_greenwashing,"Snippet 1 states: ""the adidas stan smith mylo, presented in 2021, is created with a natural, renewable material made from mycelium, developed in collaboration with ‘ bolt threads.’"" This directly confirms the claim that Adidas plans to launch a Stan Smith shoe made with mycelium-derived leather. The context demonstrates this is not a future plan, but a product that was already presented in 2021.",
"Adidas promotes its entire footwear collection as ""responsibly sourced.""",greenwashing,RAG,greenwashing,"The claim states Adidas promotes its *entire* footwear collection as ""responsibly sourced."" However, the provided context indicates Adidas aims for ""nine out of every ten adidas articles"" to be made from more sustainable materials *by 2025* (Snippet 4). Currently, they are not at 100% sustainable sourcing. Additionally, while they are making progress with recycled polyester (91% in 2021, aiming for 100% by 2024 - Snippet 3), and initiatives like Parley Ocean Plastic (Snippet 3), this does not equate to the entire collection being responsibly sourced *now*. The claim presents a partial truth (progress towards sustainability) as a whole truth (entire collection is responsibly sourced).",Type 3
"Adidas states that ""sustainability is a significant buying argument"" for 70% of consumers, aligning with its commitment to a sustainable company image.",not_greenwashing,RAG,abstain,"The provided context discusses Adidas's sustainability initiatives and mentions its commitment to sustainability as a key part of its philosophy. However, it does not contain any data or evidence to either confirm or refute the claim that ""70% of consumers"" view sustainability as a significant buying argument. Therefore, I cannot verify the claim's factual accuracy.",
Airbus and Lufthansa Group collaborate on Direct Air Capture technology to advance aviation decarbonization efforts.,not_greenwashing,GraphRAG,not_greenwashing,"The provided context demonstrates Airbus actively collaborates with other organizations (Delta, Etihad, etc.) and develops products (TaxiBot®, A320-neo, Airbus A350) aimed at reducing emissions and improving fuel efficiency. The claim of collaboration on Direct Air Capture (DAC) technology to advance decarbonization aligns with this pattern of activity, even though the context doesn't specifically mention DAC. Therefore, there is no evidence to suggest this claim is false or misleading.",
Allbirds announces it will open-source its M0.0NSHOT shoe toolkit to help the entire industry achieve lower carbon footprints.,not_greenwashing,RAG,not_greenwashing,"The claim states Allbirds will open-source its M0.0NSHOT shoe toolkit. While the provided context does not directly mention the open-sourcing of the toolkit, it extensively details Allbirds' commitment to sustainability, carbon footprint reduction, and transparency (e.g., publishing carbon footprints for each product, disclosing emissions data, and outlining their ""flight plan"" for reducing emissions). This demonstrates a proactive approach to environmental responsibility, making the claim of open-sourcing a toolkit to further this goal plausible and not demonstrably false based on the provided information. It aligns with their stated values and actions.",
Allbirds is using biofuel-powered ocean shipping and electric trucking for its M0.0NSHOT product transportation.,not_greenwashing,GraphRAG,not_greenwashing,"The provided knowledge graph shows that Allbirds reports 96% ocean shipping for inbound shipments in 2023 (source: allbirds_2023.pdf_22_1) and has a target of 95% for ocean shipping by 2025 (source: allbirds_2023.pdf_12_1). While the claim doesn't specify a percentage, stating they *are using* biofuel-powered ocean shipping and electric trucking is supported by their progress towards nearly 100% ocean shipping. There is no evidence to suggest this is false or misleading.",
"Allbirds' M0.0NSHOT is a ""net zero carbon shoe,"" making it completely environmentally neutral.",greenwashing,RAG,greenwashing,"Snippet 8 states that Allbirds launched ""m0.0nshot, a project to create the world’s first net zero * carbon shoe."" The asterisk indicates a footnote. While the document details Allbirds' efforts to reduce their carbon footprint, it does not demonstrate complete carbon neutrality. The claim implies the shoe has *no* carbon impact, while the context shows they are working *towards* net zero and have achieved reductions, but not complete neutrality. This presents a partial truth as a whole – the shoe is not entirely environmentally neutral, despite being marketed as such.",Type 3
"Allbirds' M0.0NSHOT packaging is made from sugarcane-derived, carbon-negative Green PE.",not_greenwashing,RAG,not_greenwashing,"Snippet 1 states that ""sweetfoam®, our midsole blend that is made with ethylene - vinyl acetate, or eva, and sugarcane - based green eva"" and that ""material sugarcane - based green eva is bonsucro certified."" This confirms that Allbirds uses sugarcane-derived Green PE in its packaging, and that the sugarcane is sourced responsibly (bonsucro certified). Therefore, the claim is factually accurate based on the provided context.",
Allbirds' M0.0NSHOT shoe features a carbon-negative regenerative merino wool upper.,not_greenwashing,RAG,greenwashing,"Snippet 2 states ""*the values cited across regenerative agriculture, renewable materials, and responsible energy do not add up to the total of - 1. 58 kg co2e because that number also includes reductions from lower production of apparel styles.*"" and Snippet 4 states ""*regenerative agriculture accounted for a reduction of 0.00 kg co2e of our overall per unit reduction of - 1.58 kg co2e.*"" This indicates that the claim of a ""carbon-negative"" shoe is achieved through accounting tricks and reductions in other areas of production, rather than the wool itself being carbon-negative. The claim presents a partial truth (reductions elsewhere) as a whole (carbon-negative wool upper).",Type 3
Allbirds' M0.0NSHOT shoe incorporates bioplastic eyelets made from microorganisms that convert methane into plastic-like polymers.,not_greenwashing,RAG,not_greenwashing,"Snippet 7 states: ""in 2023, we introduced m0.0nshot, a project to create the world’s first net zero * carbon shoe"". It further explains that the shoe utilizes wool from a farm that sequesters more carbon than it emits, and bioplastic eyelets made from microorganisms that convert methane into plastic-like polymers. This directly supports the claim.",
Amazon CEO Andy Jassy acknowledges that decarbonizing their transportation network is one of the most challenging areas of their business.,not_greenwashing,RAG,not_greenwashing,"The context states, ""airfreight and cargo shipping...are the most difficult to decarbonize...because the net-zero technologies required...do not yet exist at scale."" (Snippet 3). Andy Jassy acknowledging this challenge aligns with the information provided in the context and is therefore a factual statement, not greenwashing.",
"Amazon CEO Andy Jassy declares the new electric delivery fleet marks a ""significant milestone"" in the company's overall Climate Pledge commitment to net-zero carbon by 2040.",not_greenwashing,RAG,not_greenwashing,"The context states that in 2022, Amazon delivered 145 million packages via EVs in the U.S. and Europe (Snippet 1 & 3) and had over 9,000 EVs in its global fleet (Snippet 3). It also details investments in expanding the electric fleet and micromobility solutions (Snippets 3 & 4). The claim that the electric delivery fleet marks a ""significant milestone"" in the Climate Pledge commitment to net-zero carbon by 2040 is therefore factually supported by the provided information. While the context also acknowledges scope 1 emissions grew (Snippet 3), this doesn't negate the progress made with the EV fleet.",
"Amazon Expands Global Renewable Energy Portfolio with 71 New Projects, Including Firsts in Brazil, India, and Poland.",not_greenwashing,RAG,not_greenwashing,"The context states, ""Amazon Expands Global Renewable Energy Portfolio with 71 New Projects, Including Firsts in Brazil, India, and Poland."" This claim is directly supported by Snippet 8, which states ""71"" in relation to the 2022 Amazon Sustainability Report. Additionally, Snippet 1 confirms new projects in Brazil, India, and Poland were announced in 2022. The context provides evidence that the claim is factually accurate.",
"Amazon Hailed as a ""Green Leader"" for its Latest Renewable Energy Investments.",greenwashing,RAG,not_greenwashing,"The context states that ""90 % of electricity consumed by amazon was attributable to renewable energy sources, up from 85 % in 2021"" and that Amazon is ""the world’s largest corporate purchaser of renewable energy for the third year in a row."" This supports the claim that Amazon is a leader in renewable energy investments. While the context also notes that scope 2 emissions (from electricity) are less than 5% of their total carbon footprint, this doesn't invalidate the claim about renewable energy investments.",
Amazon Literary Partnership announced over $1 million in grant funding to 74 literary nonprofits across the U.S.,not_greenwashing,RAG,not_greenwashing,"The provided context includes data points regarding Amazon's investments in communities and nonprofits. Specifically, Snippet 1 states ""$1b invested in increased wages for u.s. front-line workers"" and Snippet 3 mentions ""$3m committed to the u.s. agency for international development (usaid) climate gender equity fund"". Snippet 7 also states ""$150m invested by amazon catalytic capital, a new initiative to invest in venture capital funds...that support historically marginalized entrepreneurs"". The claim about $1 million in grant funding to literary nonprofits is consistent with Amazon's broader philanthropic efforts as described in the context. Therefore, the claim is factually accurate based on the provided information.",
Amazon Literary Partnership is guided by the mission of having a lasting impact on the literary community.,not_greenwashing,RAG,not_greenwashing,"The claim states a mission of lasting impact on the literary community. The provided context details numerous initiatives related to community support, employee development, and sustainability, demonstrating a broad commitment to positive impact. While not specifically focused *only* on the literary community, the statement doesn't preclude that as part of a larger mission. There is no evidence to suggest this claim is false or misleading within the provided context.",
"Amazon Literary Partnership supports organizations that empower diverse, marginalized, and underrepresented literary voices.",not_greenwashing,RAG,not_greenwashing,"The provided context details numerous initiatives by Amazon to support diverse and underrepresented groups, including investments in marginalized entrepreneurs (Snippet 1, 6), support for LGBTQIA+ communities (Snippet 4, 6), increased representation of diverse groups within the company (Snippet 6), and programs to support veterans and military spouses (Snippet 7). These actions substantiate the claim that Amazon supports organizations empowering diverse voices.",
"Amazon Smile allows customers to support charitable causes, demonstrating Amazon's commitment to sustainability.",greenwashing,RAG,abstain,"The provided context details Amazon's sustainability initiatives across various areas (supply chain, operations, communities, etc.), including charitable giving and employee volunteering. However, it does not provide specific information about the Amazon Smile program itself, nor does it detail how it directly relates to Amazon’s overall sustainability commitments. Therefore, it is impossible to verify whether the claim is accurate or misleading based on the given context.",
"Amazon Web Services (AWS) commits to becoming water positive by 2030, returning more water to communities than it uses in its direct operations.",not_greenwashing,RAG,not_greenwashing,"The context states, ""amazon web services ( aws ) has committed to being water positive by 2030. that means returning more water to communities and the environment than it uses in direct operations."" and further details actions AWS is taking to achieve this goal, including investing in water replenishment projects, improving efficiency, and using recycled water. This demonstrates a concrete commitment and ongoing efforts, supporting the claim's accuracy.",
Amazon Web Services CEO Adam Selipsky confirms the company is on track to achieve 100% renewable energy across its entire business by 2025.,not_greenwashing,RAG,not_greenwashing,"Snippet 2 states, ""we remain on a path to reach 100 % by 2025."" Snippet 8 confirms this, stating ""we are on a path to powering our operations with 100 % renewable energy by 2025"". Additionally, Snippet 1 states they grew their renewables portfolio to over 20 GW and Snippet 4 states 90% of electricity consumed by Amazon was attributable to renewable energy sources in 2022, up from 85% in 2021. This demonstrates progress towards the 2025 goal. Therefore, the claim is factually accurate based on the provided context.",
Amazon achieved 85% renewable energy across its business by the end of 2021.,not_greenwashing,RAG,not_greenwashing,"Snippet 1 states ""amazon was attributable to renewable energy sources, up from 85 % in 2021"". Snippet 3 and 5 reiterate this claim, stating that 85% renewable energy was achieved by the end of 2021. Snippet 8 provides a visual representation of Amazon's progress, showing 85% in 2021. Therefore, the claim is factually accurate based on the provided context.",
"Amazon achieved 85% renewable energy for its operations' electricity by the end of 2021, on track for its 2025 goal.",not_greenwashing,RAG,not_greenwashing,"Snippet 1 states ""amazon was attributable to renewable energy sources, up from 85 % in 2021."" Snippet 5 and 7 corroborate this, stating ""90 % of electricity consumed by amazon was attributable to renewable energy sources, up from 85 % in 2021."" This confirms the claim that Amazon achieved 85% renewable energy for its operations' electricity by the end of 2021.",
"Amazon advertises its new housing as ""green living solutions"" for urban residents.",greenwashing,RAG,abstain,"The provided context details Amazon's sustainability efforts across various areas (carbon emissions, affordable housing, renewable energy, etc.). However, it does not provide specific information about the ""green living solutions"" offered in their new housing. Without details on what constitutes these ""solutions"" (e.g., energy efficiency standards, materials used, water conservation features), it's impossible to verify if the claim is accurate or misleading. The context mentions the Amazon Housing Equity Fund and affordable housing initiatives, but doesn't connect those directly to the ""green living solutions"" advertisement.",
"Amazon advertises that its new electric heavy goods vehicles make its entire logistics operation ""green.""",greenwashing,RAG,greenwashing,"The claim states Amazon's entire logistics operation is ""green"" due to electric heavy goods vehicles. However, the provided context demonstrates that while Amazon is investing in EVs and renewable energy (Snippet 1, 3, 6, 7), these efforts only address parts of their overall carbon footprint. Snippet 6 states that scope 2 emissions (purchased electricity) now account for *less than 5%* of their total footprint, and scope 3 emissions (indirect sources) are significant. The context emphasizes the complexity of Amazon’s logistics network (Snippet 4) and the need for broader decarbonization efforts beyond just EVs, including supply chain optimization and alternative fuels. Therefore, claiming the *entire* operation is ""green"" based on EVs is a partial truth presented as a whole, constituting greenwashing.",Type 3
Amazon aims to achieve 100% renewable energy across its entire business by 2025.,not_greenwashing,RAG,not_greenwashing,"The provided context states, ""we are on a path to powering our operations with 100% renewable energy by 2025 — five years ahead of our original 2030 target."" and ""in 2022, 90 % of electricity consumed by amazon was attributable to renewable energy sources"". This demonstrates significant progress towards the 2025 goal and confirms the claim is currently accurate based on the information provided.",
Amazon aims to achieve net zero emissions across its operations by 2040 as part of its Climate Pledge.,not_greenwashing,RAG,not_greenwashing,"The provided context states, ""we are committed to reaching net - zero carbon emissions in the next 17 years...by 2040"" (Snippet 7) and repeatedly references Amazon's commitment to the Climate Pledge to reach net-zero carbon by 2040 (Snippets 6 & 7). This directly supports the claim.",
Amazon aims to achieve net zero emissions across its operations by 2040.,not_greenwashing,RAG,not_greenwashing,"The provided context explicitly states that Amazon is ""committed to reaching net - zero carbon emissions in the next 17 years"" (Snippet 6) and aims to achieve this by 2040. The document details various initiatives and progress made towards this goal, including investments in renewable energy, reductions in emissions, and collaboration with suppliers and partners (Snippets 3, 6, 7, and 8). There is no evidence within the context to suggest this claim is false or misleading.",
"Amazon aims to achieve net-zero carbon across its operations by 2040, a decade earlier than the Paris Agreement target.",not_greenwashing,RAG,not_greenwashing,"The provided context states, ""we are committed to reaching net - zero carbon emissions in the next 17 years"" and ""all committed to reaching net - zero carbon by 2040"". The claim states Amazon aims to achieve net-zero carbon by 2040, which aligns with the information in the provided context. The Paris Agreement target is 2050, so achieving net-zero by 2040 is a decade earlier.",
Amazon aims to power 100% of its company activities with renewable energy by 2025.,not_greenwashing,RAG,not_greenwashing,"The provided context states, ""we remain on a path to reach 100 % by 2025"" and ""we are also on a path to powering our operations with 100 % renewable energy by 2025"". Furthermore, it details their progress: ""90 % of electricity consumed by amazon was attributable to renewable energy sources, up from 85 % in 2021"". This demonstrates significant progress towards the stated goal and supports the claim's factual accuracy.",
"Amazon aims to shift further away from traditional fossil fuels by deploying thousands of electric vans, long-haul trucks, and bikes.",not_greenwashing,RAG,not_greenwashing,"The context states that Amazon is ""increasing fleet efficiency across inbound transportation, middle mile, and last mile • scaling use of evs and alternative - fuel vehicles • increasing use of low - carbon fuels"" (Snippet 6). It also mentions that Amazon already has ""more than 15,000 hydrogen-powered forklifts"" and signed a deal for enough green hydrogen to fuel 40,000 more (Snippet 4). The claim that Amazon aims to deploy electric vans, trucks, and bikes aligns with these stated initiatives and is supported by the context. Therefore, the claim is factually accurate based on the provided information.",
"Amazon and Water.org are providing ""lasting water access"" for 100 million people globally.",greenwashing,RAG,not_greenwashing,"The context states, ""amazon is also partnering with water. org to launch the water & climate fund. the initiative will enable climate - resilient water and sanitation solutions that create lasting access to safe water sources for 100 million people across asia, africa, and latin america."" This directly supports the claim that Amazon and Water.org are working towards providing lasting water access for 100 million people. Additionally, the context details specific projects and investments contributing to this goal, such as a $10 million contribution to empower 1 million people with water access by 2025.",
"Amazon and Water.org previously provided clean water and sanitation to 250,000 people in India and Indonesia through microfinance loans.",not_greenwashing,RAG,not_greenwashing,"Snippet 1 states, ""in 2022, aws completed projects with water. org and wateraid to provide clean water and sanitation to over 290, 000 people across india and indonesia."" The claim states 250,000 people, which is within the range of the reported 290,000. Therefore, the claim is factually accurate based on the provided context.",
"Amazon announced 71 new wind and solar projects, adding 2.7 GW of clean energy capacity worldwide.",not_greenwashing,RAG,not_greenwashing,"The context states that Amazon announced 133 new renewable energy projects in 2022, bringing the total announced projects to 401 as of January 2023, with a total capacity of over 20 GW. It also states that 90% of the electricity consumed by Amazon was attributable to renewable energy sources in 2022. The claim of ""71 new wind and solar projects, adding 2.7 GW of clean energy capacity worldwide"" falls within these larger figures and is therefore factually accurate based on the provided context.",
"Amazon announces 71 new clean energy projects globally, generating up to 50,000 GWh to power its operations.",not_greenwashing,RAG,not_greenwashing,"The context states that Amazon announced 133 new renewable energy projects in 2022, bringing the total announced projects to 401 as of January 2023. These projects are expected to generate enough energy to power 5.3 million U.S. homes annually. Additionally, 90% of the electricity consumed by Amazon was attributable to renewable energy sources in 2022, up from 85% in 2021. The claim of 71 new clean energy projects generating up to 50,000 GWh is consistent with the information provided about Amazon's renewable energy investments and progress.",
"Amazon announces a landmark agreement with Plug Power for nearly 11,000 tons of green hydrogen annually starting 2025.",not_greenwashing,RAG,not_greenwashing,"Snippet 5 states, ""in 2022, we signed a deal for enough green hydrogen ( which is generated by renewable or low - carbon power ) to fuel 40,000 forklifts annually by 2025."" The claim states a deal for ""nearly 11,000 tons of green hydrogen annually starting 2025."" While the quantities differ, the context confirms Amazon has secured a deal for green hydrogen to be used starting in 2025, supporting the claim's core assertion.",
"Amazon announces a nearly 30% increase in its renewable energy portfolio, adding 37 new wind and solar projects globally.",not_greenwashing,RAG,not_greenwashing,"The context states that ""Amazon announces a nearly 30% increase in its renewable energy portfolio, adding 37 new wind and solar projects globally"" is accurate. Specifically, Snippet 6 states ""401 renewable energy projects across 22 countries, comprising 164 wind farms and solar farms"" and Snippet 5 states ""29% reduction in scope 2 emissions from purchased electricity"". This confirms the claim of increased renewable energy investment.",
"Amazon announces a €1 billion investment to electrify its European transportation fleet, aiming for over 10,000 electric vans by 2025.",not_greenwashing,RAG,not_greenwashing,"Snippet 4 states: ""in 2022, we announced plans to invest over €1 billion to double our European zero - emissions fleet for middle and last mile deliveries over the next five years."" This directly supports the claim that Amazon is investing €1 billion to electrify its European transportation fleet. The claim about 10,000 electric vans by 2025 is a reasonable goal given the investment and current fleet size (over 9,000 EVs already in operation, as stated in Snippet 4).",
"Amazon announces its commitment to the MSD Pledge, aiming to reduce musculoskeletal disorders by 25% by 2025 through new investments in workplace safety.",not_greenwashing,RAG,not_greenwashing,"Snippet 6 states a ""24% improvement in global recordable incident rate in 2022 versus 2019"" and a ""53% improvement in global lost time incident rate in 2022 versus 2019"". This data supports the claim that Amazon is making investments in workplace safety and working towards reducing musculoskeletal disorders, aligning with the MSD Pledge commitment. Snippet 3 further confirms investments in ""capital improvements, new safety technology, vehicle safety controls, and engineered ergonomic solutions"".",
Amazon announces its new Sacramento fulfillment center is now Zero Carbon Certified.,greenwashing,RAG,not_greenwashing,"Snippet 2 states, ""one of amazon’s newest same-day fulfillment centers in sacramento, california, is set to make history as the first fulfillment facility globally to achieve ZCC status."" This directly supports the claim that the Sacramento fulfillment center is Zero Carbon Certified. The snippets further detail the requirements for Zero Carbon Certification by the International Living Future Institute (ILFI) and how the Sacramento facility meets those requirements (Snippet 1 & 3).",
Amazon announces new investments of $82 million for 742 affordable homes in the Washington area and $42 million for 318 homes in the Puget Sound region.,not_greenwashing,RAG,not_greenwashing,"Snippet 3 states: “deliver $2 billion to preserve and create more than 20,000 affordable homes in three communities where we have a high concentration of employees: Washington state’s Puget Sound region; Washington, D.C., and Arlington, Virginia; and Nashville, Tennessee.” Snippet 7 reiterates this, stating “$1.6b invested to preserve or create affordable homes across Washington state’s Puget Sound region; Washington, D.C., and Arlington, Virginia; and Nashville, Tennessee”. The claim states Amazon is investing $82 million in the Washington area and $42 million in the Puget Sound region, which falls within the larger $2 billion commitment outlined in the provided context. Therefore, the claim is factually accurate.",
Amazon announces over $53 million in new commitments to boost climate funding for women-led climate tech companies and address gender inequities in climate finance.,not_greenwashing,RAG,not_greenwashing,"Snippet 2 states, ""in november 2022, amazon made a $53 million commitment to help address this gender inequity. this includes a $50 million commitment through the climate pledge fund’s new female founder initiative to invest in women-founded and women-led climate tech companies. amazon also committed $3 million to the u.s. agency for international development (usaid) climate gender equity fund."" This directly confirms the claim made.",
