claim,label,selected_pipeline,predicted_label,predicted_justification,predicted_type
ASICS has reduced its GHG emissions intensity to 1.95kg CO2e per unit of production.,greenwashing,RAG,not_greenwashing,"The claim states ASICS has reduced its GHG emissions intensity to 1.95kg CO2e per unit of production. While the provided context is from ASOS, not ASICS, it demonstrates a commitment to tracking and reporting GHG emissions, setting science-based targets, and working with suppliers to reduce their carbon footprint. This suggests that companies *are* actively measuring and reporting on emissions intensity, making the claim plausible. Without information specific to ASICS, I cannot definitively verify the claim, but it doesn't present any immediately verifiable inaccuracies based on the provided context or my internal knowledge. Therefore, I cannot label it as greenwashing.",
ASICS uses 100% renewable energy for the manufacturing of its GEL-LYTE III CM 1.95 sneaker.,not_greenwashing,RAG,abstain,"The provided context focuses on ASOS's sustainability initiatives and reporting, but contains no information about ASICS or the manufacturing process of the GEL-LYTE III CM 1.95 sneaker. Therefore, I cannot verify whether the claim about 100% renewable energy usage is factually accurate or false.",
"AWS announces its operations are now ""eco-friendly"" due to its water positive goals.",greenwashing,RAG,greenwashing,"While AWS has a goal to be ""water positive by 2030,"" the provided context details this as a commitment to *return* more water than it uses. The snippets explain AWS is focusing on efficiency, recycled water, and replenishment projects. However, the context does not indicate that AWS operations are currently ""eco-friendly."" The claim implies a current state of environmental benefit, while the context describes future goals and actions to *achieve* that state. Framing a future goal as a present reality is misleading.",Type 2
"AWS asserts its water replenishment projects are already ""significantly reversing regional water stress.""",greenwashing,RAG,abstain,"While the provided context details AWS's water replenishment projects and goals (including being ""water positive"" by 2030 and replenishing 2.4 billion liters of water), it does not contain specific, verifiable data demonstrating that these projects are *already* ""significantly reversing regional water stress."" The context describes ongoing efforts and future plans, but lacks conclusive evidence to support the claim of current, significant reversal. Therefore, I cannot verify the claim as factually accurate or false.",
AWS collaborates with conservation non-profit Freshwater Trust to recharge 189 million liters of groundwater annually in the U.S.,not_greenwashing,RAG,not_greenwashing,"The provided context details AWS's collaboration with Freshwater Trust to recharge 189 million liters of groundwater annually in the U.S. This is presented as a specific action taken by AWS to replenish water resources, aligning with their broader goal of being ""water positive by 2030."" The context supports the claim with concrete details about the project, making it factually accurate.",
AWS highlights that its data centers consistently meet all local water quality and discharge regulations.,greenwashing,RAG,not_greenwashing,"The provided context consistently demonstrates AWS's commitment to water stewardship and compliance with regulations. It explicitly states they ""consistently meet all local water quality and discharge regulations."" Furthermore, the context details numerous initiatives to increase water efficiency, use sustainable sources, reuse cooling water, and invest in water replenishment projects, supporting the claim that they adhere to regulations. There is no evidence to suggest this claim is false or misleading.",
AWS partners with The Rivers Trust and Action for the River Kennet to create two wetlands on a tributary of the River Thames in the UK.,not_greenwashing,RAG,not_greenwashing,"The provided context details AWS's commitment to water stewardship and specifically mentions a partnership with The Rivers Trust and Action for the River Kennet to create wetlands on a tributary of the River Thames. This directly supports the claim and demonstrates a concrete action taken by AWS to improve water quality and recharge groundwater, aligning with their broader water positive goals. There is no evidence to suggest this claim is false or misleading.",
"AWS powers your cloud services with ""sustainable water sources.""",greenwashing,RAG,abstain,"The provided context discusses AWS's efforts to be ""water positive"" by 2030, focusing on efficiency, sustainable sources (like recycled water), and replenishment projects. However, it does not define what constitutes a ""sustainable water source"" nor does it provide enough information to verify whether AWS's current water sources meet a rigorous definition of sustainability. The claim is too vague to be definitively verified or refuted based on the provided text.",
AWS reported a global water use efficiency (WUE) of 0.25 liters of water per kilowatt-hour in 2021.,not_greenwashing,RAG,not_greenwashing,"The provided context includes a statement that AWS reported a global water use efficiency (WUE) of 0.25 liters of water per kilowatt-hour in 2021. Furthermore, the context states that in 2022, AWS improved its WUE to 0.19 liters of water per kilowatt-hour, a 24% improvement from 2021. Therefore, the claim that AWS reported a WUE of 0.25 liters of water per kilowatt-hour in 2021 is factually accurate and verifiable based on the provided context.",
Adidas claims SF6 gases have never been used in any of its products.,greenwashing,RAG,abstain,"The provided context details Adidas's chemical management program, sustainable material sourcing (cotton, polyester, Parley Ocean Plastic), and audit processes. However, it does *not* contain any information regarding the use of SF6 gases in their products. Therefore, I cannot verify whether Adidas's claim about never using SF6 gases is factually accurate or false based on the provided context.",
"Adidas highlights its ""over thirty years"" of sustainability efforts, contributing to human rights, labor rights, and environmentally friendly supply chains.",not_greenwashing,RAG,not_greenwashing,"The provided context demonstrates that Adidas has been focusing on sustainability for ""over two decades"" and has set concrete goals for 2025, including using more sustainable materials (9 out of 10 articles) and reducing its carbon footprint. The snippets detail various initiatives, training programs, and commitments to environmental and social responsibility, supporting the claim that Adidas has a long-standing commitment to sustainability. While the claim uses broad language (""contributing to...""), the context provides evidence of substantial efforts in the areas mentioned.",
Adidas now incorporates plastics recycled from ocean waste into its footwear products.,not_greenwashing,RAG,not_greenwashing,"The provided context confirms that Adidas has partnered with Parley for the Oceans since 2015 and uses ""Parley ocean plastic"" as a replacement for virgin polyester in its products. In 2021, Adidas produced close to 18 million pairs of shoes containing this material. This directly supports the claim that Adidas incorporates plastics recycled from ocean waste into its footwear.",
"Adidas partners with Allbirds to develop low-carbon footwear using innovative materials like merino wool, recycled bottle plastics, and castor bean oil.",not_greenwashing,RAG,not_greenwashing,"The provided context details Adidas's partnership with Allbirds to develop low-carbon footwear using materials like merino wool, recycled plastics, and castor bean oil. It specifically mentions the ""Futurecraft. Footprint"" shoe with a significantly reduced carbon footprint (2.94kg vs. 7.86kg for a comparable shoe). The context also highlights Adidas's broader sustainability efforts, including using recycled polyester, Parley Ocean Plastic, and aiming for 90% sustainable materials by 2025. This supports the claim that Adidas is actively working on low-carbon footwear with innovative materials, making the claim factually accurate based on the provided evidence.",
Adidas plans to launch a new version of its classic Stan Smith shoe made with mycelium-derived leather.,not_greenwashing,RAG,not_greenwashing,"The provided context states that Adidas ""presented the adidas stan smith mylo, created with a natural, renewable material made from mycelium, developed in collaboration with ‘ bolt threads.’"" This directly supports the claim that Adidas plans to launch a version of the Stan Smith shoe made with mycelium-derived leather. The context does not contain any information to suggest this claim is false or misleading.",
"Adidas promotes its entire footwear collection as ""responsibly sourced.""",greenwashing,RAG,greenwashing,"While Adidas states its entire footwear collection is ""responsibly sourced,"" the provided context reveals a nuanced picture. The snippets detail efforts towards *increasing* the use of sustainable materials (recycled polyester, Parley Ocean Plastic, sustainable cotton) and reducing the carbon footprint, with goals for 2025 (90% sustainable materials, 15% carbon footprint reduction). However, the context also shows that as of 2021, only 91% of polyester used was recycled, and the company is *aiming* to reach 100% by 2024. The claim of ""responsibly sourced"" for the *entire* collection is therefore a partial truth presented as a whole, as it doesn't account for the materials and processes that are *not yet* fully sustainable. The company is working towards it, but hasn't achieved it across the board.",Type 3
"Adidas states that ""sustainability is a significant buying argument"" for 70% of consumers, aligning with its commitment to a sustainable company image.",not_greenwashing,RAG,abstain,"The provided context discusses Adidas's commitment to sustainability and mentions that ""sustainability is a significant buying argument"" for consumers. However, it does not provide any verifiable data or evidence to support the claim that this figure is specifically 70%. While the text highlights Adidas's focus on sustainability and consumer engagement, it doesn't confirm the exact percentage stated in the claim. Therefore, I cannot verify the claim's factual accuracy.",
Airbus and Lufthansa Group collaborate on Direct Air Capture technology to advance aviation decarbonization efforts.,not_greenwashing,RAG,abstain,"The provided context discusses various environmental initiatives by Lufthansa Group and Ryanair, including sustainable aviation fuels (SAF), fleet modernization, and fuel efficiency. However, it does not contain any information about a collaboration between Airbus and Lufthansa Group specifically on Direct Air Capture (DAC) technology. Therefore, I cannot verify the claim's accuracy or misleading nature.",
Allbirds announces it will open-source its M0.0NSHOT shoe toolkit to help the entire industry achieve lower carbon footprints.,not_greenwashing,GraphRAG,not_greenwashing,"The provided context demonstrates that Allbirds has established multiple goals related to reducing its carbon footprint, including reducing emissions per unit of product and the carbon footprint of key raw materials. They are actively tracking and reporting on these KPIs. Opening up the ""M0.0NSHOT shoe toolkit"" aligns with these goals and represents a potentially genuine effort to help the wider industry reduce its carbon footprint, rather than a misleading claim. While the success of this initiative remains to be seen, the announcement itself is consistent with Allbirds' stated sustainability objectives and actions.",
Allbirds is using biofuel-powered ocean shipping and electric trucking for its M0.0NSHOT product transportation.,not_greenwashing,GraphRAG,not_greenwashing,"The provided context shows that Allbirds is actively working to use ocean shipping and has already achieved 96% ocean shipping for inbound shipments in 2023 (source: allbirds_2023.pdf_22_1). They also have a target of 95% for ocean shipping by 2025 (source: allbirds_2023.pdf_12_1). While the claim doesn't specify a percentage, the context supports the claim that they are utilizing biofuel-powered ocean shipping and electric trucking for M0.0NSHOT product transportation, as they are demonstrably increasing their use of ocean shipping which is more efficient than air freight.",
"Allbirds' M0.0NSHOT is a ""net zero carbon shoe,"" making it completely environmentally neutral.",greenwashing,RAG,greenwashing,"The provided context details Allbirds' efforts to reduce its carbon footprint, but also reveals complexities. While they aim for ""net zero carbon"" with the M0.0NSHOT shoe, the snippets indicate that reductions are calculated across multiple areas (regenerative agriculture, renewable materials, responsible energy) and that the total reduction of -1.58 kg CO2e includes reductions from *lower production of apparel styles* in addition to the specific initiatives. The claim of a ""net zero carbon shoe"" implies complete environmental neutrality for that specific product, but the context suggests this is achieved through a combination of reductions and potentially offsets, and doesn't necessarily mean the shoe itself has zero impact. Furthermore, the snippets mention using REC's (Renewable Energy Credits) which are not a perfect solution. The claim presents a partial truth (efforts to reduce carbon impact) as a whole (completely environmentally neutral).",Type 3
"Allbirds' M0.0NSHOT packaging is made from sugarcane-derived, carbon-negative Green PE.",not_greenwashing,RAG,not_greenwashing,"The provided context confirms that Allbirds uses sugarcane-derived Green PE for its M0.0NSHOT packaging. Snippet 7 specifically states they are ""reducing packaging weight"" and implies a commitment to sustainable materials. Additionally, Snippet 1 mentions sugarcane-based green EVA is ""bonsucro certified,"" indicating a verified sustainable sourcing standard. Therefore, the claim is factually accurate based on the provided information.",
Allbirds' M0.0NSHOT shoe features a carbon-negative regenerative merino wool upper.,not_greenwashing,RAG,not_greenwashing,"The provided context states that Allbirds launched the M0.0NSHOT shoe as a project to create the ""world’s first net zero carbon shoe using wool from Lake Hawea Station—a New Zealand farm that sequesters more carbon than it emits."" While the context details the challenges and ongoing work to quantify and verify carbon sequestration, it explicitly states the *intention* and *project goal* of creating a carbon-negative shoe. The claim that the shoe *features* carbon-negative regenerative merino wool is consistent with this stated project and goal, and is supported by the description of the wool source.",
Allbirds' M0.0NSHOT shoe incorporates bioplastic eyelets made from microorganisms that convert methane into plastic-like polymers.,not_greenwashing,RAG,not_greenwashing,"The provided context details Allbirds' efforts to use sustainable materials, including a project called ""m0.0nshot"" which utilizes bioplastic eyelets made from microorganisms that convert methane into plastic-like polymers. This aligns with the claim and is presented as part of their broader sustainability initiatives, specifically aiming to reduce reliance on petroleum-based materials. The context doesn't contain any information contradicting this claim.",
Amazon CEO Andy Jassy acknowledges that decarbonizing their transportation network is one of the most challenging areas of their business.,not_greenwashing,RAG,not_greenwashing,"The claim that Amazon's CEO acknowledges decarbonizing their transportation network is challenging is directly supported by multiple statements within the provided context. The text explicitly states this is ""one of the most challenging areas of their business"" and details the difficulties with airfreight and cargo shipping due to a lack of scalable net-zero technologies. The context demonstrates an honest assessment of the challenges, rather than a misleading claim.",
"Amazon CEO Andy Jassy declares the new electric delivery fleet marks a ""significant milestone"" in the company's overall Climate Pledge commitment to net-zero carbon by 2040.",not_greenwashing,GraphRAG,not_greenwashing,"The provided context demonstrates that Amazon has made commitments to net-zero carbon emissions by 2040 through initiatives like ""The Climate Pledge"" and investments in renewable energy and electric vehicles. The claim that the new electric delivery fleet marks a ""significant milestone"" in their Climate Pledge commitment is consistent with these documented efforts and goals. While the extent of the ""significance"" isn't quantifiable in the provided context, the claim isn't demonstrably false or misleading based on the available information.",
"Amazon Expands Global Renewable Energy Portfolio with 71 New Projects, Including Firsts in Brazil, India, and Poland.",not_greenwashing,GraphRAG,not_greenwashing,"The provided context demonstrates that Amazon has been actively investing in renewable energy projects globally, including new projects in Brazil, India, and Poland. The knowledge graph details specific projects and energy generation figures, supporting the claim that Amazon is expanding its renewable energy portfolio. While the context doesn't provide exhaustive details on every aspect of these projects, it offers verifiable evidence of Amazon's actions in this area.",
"Amazon Hailed as a ""Green Leader"" for its Latest Renewable Energy Investments.",greenwashing,RAG,not_greenwashing,"The provided context demonstrates that Amazon is making significant investments in renewable energy, with 90% of its electricity attributable to renewable sources in 2022 and a goal of 100% by 2025. They have 401 renewable energy projects in 22 countries and are the world’s largest corporate purchaser of renewable energy for the third year in a row. The claim that Amazon is a ""Green Leader"" is supported by the documented evidence of their renewable energy investments and progress.",
Amazon Literary Partnership announced over $1 million in grant funding to 74 literary nonprofits across the U.S.,not_greenwashing,RAG,not_greenwashing,"The provided context details Amazon's philanthropic contributions to literary nonprofits, specifically mentioning over $1 million in grant funding to 74 organizations. This is a verifiable act of social responsibility and does not contain any misleading or false claims. While it's a positive action, it doesn't fall into the category of greenwashing as it doesn't relate to environmental claims.",
Amazon Literary Partnership is guided by the mission of having a lasting impact on the literary community.,not_greenwashing,RAG,not_greenwashing,"The claim states Amazon Literary Partnership is guided by a mission of lasting impact on the literary community. The provided context details Amazon's broader commitment to communities, including supporting education and local organizations. While the context doesn't *specifically* detail the Amazon Literary Partnership's activities, it supports the general claim that Amazon aims to have a positive impact on communities, which would encompass the literary community. Therefore, the claim is factually accurate based on the provided information.",
"Amazon Literary Partnership supports organizations that empower diverse, marginalized, and underrepresented literary voices.",not_greenwashing,RAG,not_greenwashing,"The provided context details Amazon's initiatives to support diverse and underrepresented groups, including financial investments, partnerships with advocacy organizations, and internal programs like affinity groups. The claim that Amazon Literary Partnership supports diverse literary voices aligns with the broader theme of supporting marginalized communities detailed throughout the provided snippets. There is no evidence to suggest this claim is false or misleading.",
"Amazon Smile allows customers to support charitable causes, demonstrating Amazon's commitment to sustainability.",greenwashing,RAG,abstain,"The provided context details Amazon's sustainability initiatives across various areas (supply chain, operations, communities, etc.) and mentions charitable giving. However, it does not contain specific information about the Amazon Smile program or how it directly relates to Amazon's overall sustainability efforts. Therefore, I cannot verify whether promoting Amazon Smile as demonstrating a commitment to sustainability is factually accurate or misleading.",
"Amazon Web Services (AWS) commits to becoming water positive by 2030, returning more water to communities than it uses in its direct operations.",not_greenwashing,RAG,not_greenwashing,"The provided context details AWS's commitment to becoming water positive by 2030, and outlines specific actions being taken to achieve this goal. These include increasing water efficiency, using sustainable sources like recycled water, returning water for community reuse, and investing in replenishment projects. The context also provides quantifiable progress, such as the 24% improvement in water use efficiency for AWS data centers and the achievement of water neutrality in 212 facilities in India. This demonstrates concrete steps and measurable results supporting the claim, indicating it is factually accurate based on the provided information.",
Amazon Web Services CEO Adam Selipsky confirms the company is on track to achieve 100% renewable energy across its entire business by 2025.,not_greenwashing,RAG,not_greenwashing,"The provided context states that Amazon is ""on a path to reach 100% by 2025"" and that ""90% of electricity consumed by amazon was attributable to renewable energy sources"" in 2022. This supports the claim that Amazon is on track to achieve 100% renewable energy across its entire business by 2025. The context also details the company's investments and progress in renewable energy projects, further validating the claim.",
Amazon achieved 85% renewable energy across its business by the end of 2021.,not_greenwashing,RAG,not_greenwashing,"The provided context confirms that Amazon achieved 85% renewable energy across its business by the end of 2021. Multiple snippets explicitly state this figure and detail Amazon's progress towards 100% renewable energy, including investments in renewable energy projects and increased capacity. The claim is factually accurate based on the provided documentation.",
"Amazon achieved 85% renewable energy for its operations' electricity by the end of 2021, on track for its 2025 goal.",not_greenwashing,RAG,not_greenwashing,"The provided context confirms that Amazon achieved 85% renewable energy for its operations' electricity by the end of 2021, and increased this to 90% in 2022. This directly supports the claim and demonstrates progress towards their 2025 goal. The context provides detailed information about their renewable energy projects and investments, verifying the claim's factual accuracy.",
"Amazon advertises its new housing as ""green living solutions"" for urban residents.",greenwashing,RAG,abstain,"The provided context details Amazon's sustainability efforts across various areas like renewable energy, affordable housing, and reducing carbon emissions in its facilities. However, it does not contain any specific information about the features or sustainability credentials of Amazon's new housing marketed as ""green living solutions."" Without details on the materials used, energy efficiency standards, or environmental impact of these homes, I cannot verify whether the ""green living solutions"" claim is accurate or misleading.",
"Amazon advertises that its new electric heavy goods vehicles make its entire logistics operation ""green.""",greenwashing,RAG,greenwashing,"The provided context details Amazon's efforts to reduce its carbon footprint, including investments in renewable energy, electric vehicles, and sustainable aviation fuel. However, it also reveals that direct emissions (Scope 1) and indirect emissions (Scope 3) still constitute the vast majority of Amazon's carbon footprint. While the electric heavy goods vehicles are a positive step, they represent only one part of a much larger and more complex operation. Claiming the entire logistics operation is ""green"" based on this single factor is a partial truth presented as a whole, and therefore constitutes greenwashing. The snippets highlight that Amazon's overall carbon footprint decreased only marginally (0.4%) despite a 9% increase in net sales, and that scope 3 emissions remain a significant challenge.",Type 3
Amazon aims to achieve 100% renewable energy across its entire business by 2025.,not_greenwashing,RAG,not_greenwashing,"The provided context consistently supports Amazon's claim of aiming for 100% renewable energy by 2025. Multiple snippets detail their progress, stating they were at 90% in 2022 (up from 85% in 2021), have 401 renewable energy projects, and are the world’s largest corporate purchaser of renewable energy. The context also highlights their multifaceted approach and continued investments in scaling renewable energy, indicating a genuine effort to achieve their stated goal.",
Amazon aims to achieve net zero emissions across its operations by 2040 as part of its Climate Pledge.,not_greenwashing,RAG,not_greenwashing,"The provided context details Amazon's commitment to achieving net-zero emissions by 2040 through the Climate Pledge, and outlines various initiatives and progress made towards this goal. Snippets 3, 4, 7, and 8 specifically mention reductions in emissions, investments in renewable energy, and efforts to decarbonize their supply chain. While the snippets don't provide a comprehensive audit, they demonstrate concrete actions supporting the claim, making it factually accurate based on the available information.",
Amazon aims to achieve net zero emissions across its operations by 2040.,not_greenwashing,GraphRAG,not_greenwashing,"The provided context explicitly states that ""Amazon sets a goal to reach net-zero carbon emissions by 2040,"" and this goal has been documented since 2019 with updates in 2022. This confirms the claim is accurate and supported by evidence within the knowledge graph.",
"Amazon aims to achieve net-zero carbon across its operations by 2040, a decade earlier than the Paris Agreement target.",not_greenwashing,RAG,not_greenwashing,"The provided context details Amazon's commitment to reaching net-zero carbon by 2040, along with specific actions taken to achieve this goal. These include investments in renewable energy, reductions in scope 2 emissions, engagement with suppliers to reduce their emissions, and participation in the Climate Pledge. The context supports the claim and demonstrates concrete steps towards achieving the stated target.",
Amazon aims to power 100% of its company activities with renewable energy by 2025.,not_greenwashing,RAG,not_greenwashing,"The provided context consistently supports Amazon's claim of aiming for 100% renewable energy by 2025. Multiple snippets detail their progress, stating they were at 90% renewable energy in 2022 (up from 85% in 2021), have 401 renewable energy projects across 22 countries, and are the world’s largest corporate purchaser of renewable energy for the third year in a row. The context explicitly states they are ""on a path to reach 100% by 2025."" Therefore, the claim is factually accurate based on the provided evidence.",
"Amazon aims to shift further away from traditional fossil fuels by deploying thousands of electric vans, long-haul trucks, and bikes.",not_greenwashing,RAG,not_greenwashing,"The provided context consistently demonstrates Amazon's significant investments in renewable energy and electric vehicles, supporting the claim that they are shifting away from fossil fuels. Snippets 1, 2, 5, and 7 specifically state increases in renewable energy usage (90% in 2022, up from 85% in 2021) and investments in electric fleets. Snippet 6 details efforts to decarbonize transportation. While the context doesn't provide exact numbers for the deployment of vans, trucks, and bikes, it confirms a clear direction and substantial action towards reducing reliance on traditional fossil fuels.",
"Amazon and Water.org are providing ""lasting water access"" for 100 million people globally.",greenwashing,RAG,not_greenwashing,"The provided context consistently supports the claim. Multiple snippets detail Amazon's partnership with Water.org, specifically mentioning the ""$10 million planned contribution to help launch the water & climate fund to directly empower 1 million people with water access by 2025"" and providing 3 billion liters of water annually. The context also highlights various water replenishment projects and initiatives undertaken by Amazon and AWS, demonstrating concrete actions towards increasing water access globally. Therefore, the claim is factually accurate based on the provided evidence.",
"Amazon and Water.org previously provided clean water and sanitation to 250,000 people in India and Indonesia through microfinance loans.",not_greenwashing,RAG,not_greenwashing,"The provided context states that ""in 2022, aws completed projects with water. org and wateraid to provide clean water and sanitation to over 290, 000 people across india and indonesia."" The claim states that Amazon and Water.org previously provided clean water and sanitation to 250,000 people in India and Indonesia. The context confirms the claim, and even provides a higher number (290,000) than stated in the claim. Therefore, the claim is factually accurate.
</OUTPUT>",
"Amazon announced 71 new wind and solar projects, adding 2.7 GW of clean energy capacity worldwide.",not_greenwashing,RAG,not_greenwashing,"The provided context confirms that Amazon announced 71 new wind and solar projects adding 2.7 GW of clean energy capacity worldwide. The context details Amazon's significant investments in renewable energy, stating they are the world’s largest corporate purchaser of renewable energy and are on a path to 100% renewable energy by 2025. The claim is factually accurate and supported by the provided information.",
"Amazon announces 71 new clean energy projects globally, generating up to 50,000 GWh to power its operations.",not_greenwashing,RAG,not_greenwashing,"The provided context consistently supports the claim that Amazon is investing heavily in clean energy projects. Specifically, it states Amazon has announced 71 *new* projects *in addition to* 401 existing projects, totaling over 20 GW of clean energy capacity. It also states 90% of Amazon's electricity is attributable to renewable sources, and they are on track to reach 100% by 2025. The context demonstrates substantial investment and progress in renewable energy, validating the claim.",
"Amazon announces a landmark agreement with Plug Power for nearly 11,000 tons of green hydrogen annually starting 2025.",not_greenwashing,RAG,not_greenwashing,"The context details Amazon's investments in green hydrogen, specifically mentioning a deal for enough to fuel 40,000 forklifts annually by 2025. The claim states an agreement for nearly 11,000 tons of green hydrogen annually starting 2025, which aligns with the information provided in the context. The context also highlights Amazon's broader commitment to renewable energy and decarbonization, supporting the validity of the claim.",
"Amazon announces a nearly 30% increase in its renewable energy portfolio, adding 37 new wind and solar projects globally.",not_greenwashing,RAG,not_greenwashing,"The provided context confirms that Amazon increased its renewable energy portfolio by nearly 30%, adding 37 new wind and solar projects globally. The documents state that 90% of Amazon’s electricity was attributable to renewable energy sources in 2022, up from 85% in 2021, and that Amazon is the world’s largest corporate purchaser of renewable energy for the third year in a row. This supports the claim and indicates it is factually accurate.",
"Amazon announces a €1 billion investment to electrify its European transportation fleet, aiming for over 10,000 electric vans by 2025.",not_greenwashing,RAG,not_greenwashing,"The provided context details Amazon's investments in renewable energy and electric vehicles, specifically mentioning a €1 billion investment to electrify its European transportation fleet and aiming for over 10,000 electric vans by 2025 (Snippet 4). This directly supports the claim and demonstrates a concrete commitment to reducing emissions in its European operations. The context also highlights Amazon's broader sustainability efforts, including increasing renewable energy usage to 90% (Snippet 1, 6, 7) and expanding its EV fleet (Snippet 4, 5). Therefore, the claim is factually accurate based on the provided evidence.",
"Amazon announces its commitment to the MSD Pledge, aiming to reduce musculoskeletal disorders by 25% by 2025 through new investments in workplace safety.",not_greenwashing,GraphRAG,not_greenwashing,"The provided context demonstrates that Amazon has made commitments and investments related to workplace safety, including a stated goal to reduce musculoskeletal disorders by 25% by 2025. While the claim doesn't detail *how* this will be achieved, the commitment itself is verifiable based on the provided information and does not appear to be false or misleading.",
Amazon announces its new Sacramento fulfillment center is now Zero Carbon Certified.,greenwashing,RAG,not_greenwashing,"The provided context states that Amazon's Sacramento fulfillment center is the ""first fulfillment facility globally to achieve ZCC status"" (Zero Carbon Certified) by the International Living Future Institute (ILFI). The context details the specific measures taken to achieve this certification, including using sustainable building materials, an electrified HVAC system, and a solar-ready design. This supports the claim that the fulfillment center is Zero Carbon Certified.",
Amazon announces new investments of $82 million for 742 affordable homes in the Washington area and $42 million for 318 homes in the Puget Sound region.,not_greenwashing,RAG,not_greenwashing,"The provided context details Amazon's investments of $82 million and $42 million for affordable housing in the Washington area and Puget Sound region, respectively. Snippet 3 and 7 explicitly state that Amazon has pledged $2 billion to create or preserve over 20,000 affordable homes in these areas, and has already invested $1.6 billion towards this goal. The claim is therefore factually accurate and supported by the provided information.",
Amazon announces over $53 million in new commitments to boost climate funding for women-led climate tech companies and address gender inequities in climate finance.,not_greenwashing,RAG,not_greenwashing,"The provided context confirms that Amazon committed over $53 million to boost climate funding for women-led climate tech companies and address gender inequities in climate finance. Specifically, it details a $50 million commitment through the Climate Pledge Fund’s new Female Founder Initiative and a $3 million commitment to the USAID Climate Gender Equity Fund. This accurately reflects the claim made.",
